0.075, 0.12, 937, 272, 827, 3000, 1207, 1793, 145, 0
0.075, 0.12, 969, 287, 852, 3150, 1255, 1895, 159, 0
0.075, 0.12, 1002, 301, 887, 3300, 1302, 1998, 182, 0
0.075, 0.12, 1043, 312, 921, 3450, 1354, 2096, 201, 0
0.075, 0.12, 1088, 321, 958, 3600, 1408, 2192, 223, 0
0.075, 0.12, 1142, 328, 1007, 3750, 1469, 2281, 233, 0
0.075, 0.12, 1179, 338, 1039, 3900, 1516, 2384, 249, 0
0.075, 0.12, 1225, 347, 1081, 4050, 1571, 2479, 258, 0
0.075, 0.12, 1268, 354, 1117, 4200, 1621, 2579, 270, 0
0.075, 0.12, 1278, 354, 1126, 4228, 1631, 2597, 272, 0
0.075, 0.12, 87, 11, 77, 150, 97, 53, 0, 0
0.075, 0.12, 167, 18, 147, 300, 184, 116, 0, 0
0.075, 0.12, 234, 26, 205, 450, 258, 192, 1, 0
0.075, 0.12, 296, 44, 256, 600, 339, 261, 3, 0
0.075, 0.12, 351, 65, 302, 750, 415, 335, 10, 0
0.075, 0.12, 398, 75, 349, 900, 472, 428, 23, 0
0.075, 0.12, 444, 88, 389, 1050, 530, 520, 41, 0
0.075, 0.12, 488, 98, 430, 1200, 585, 615, 62, 0
0.075, 0.12, 524, 112, 457, 1350, 635, 715, 83, 0
0.075, 0.12, 570, 124, 498, 1500, 693, 807, 96, 0
0.075, 0.12, 615, 133, 537, 1650, 747, 903, 110, 0
0.075, 0.12, 629, 145, 549, 1712, 773, 939, 115, 0
0.075, 0.12, 76, 6, 67, 150, 81, 69, 0, 0
0.075, 0.12, 136, 19, 118, 300, 154, 146, 0, 0
0.075, 0.12, 188, 32, 167, 450, 219, 231, 4, 0
0.075, 0.12, 248, 45, 223, 600, 292, 308, 7, 0
0.075, 0.12, 306, 58, 268, 750, 362, 388, 7, 0
0.075, 0.12, 365, 72, 320, 900, 435, 465, 10, 0
0.075, 0.12, 418, 87, 369, 1050, 504, 546, 12, 0
0.075, 0.12, 469, 105, 415, 1200, 573, 627, 16, 0
0.075, 0.12, 530, 118, 469, 1350, 647, 703, 20, 0
0.075, 0.12, 577, 132, 513, 1500, 707, 793, 32, 0
0.075, 0.12, 615, 142, 546, 1650, 755, 895, 49, 0
0.075, 0.12, 655, 159, 586, 1800, 813, 987, 67, 0
0.075, 0.12, 706, 181, 633, 1950, 886, 1064, 76, 0
0.075, 0.12, 744, 194, 674, 2100, 937, 1163, 94, 0
0.075, 0.12, 796, 206, 712, 2250, 1000, 1250, 108, 0
0.075, 0.12, 848, 214, 756, 2400, 1060, 1340, 129, 0
0.075, 0.12, 884, 227, 793, 2550, 1110, 1440, 153, 0
0.075, 0.12, 929, 235, 830, 2700, 1162, 1538, 167, 0
0.075, 0.12, 973, 246, 868, 2850, 1218, 1632, 179, 0
0.075, 0.12, 1026, 255, 916, 3000, 1280, 1720, 194, 0
0.075, 0.12, 1072, 260, 959, 3150, 1331, 1819, 211, 0
0.075, 0.12, 1117, 277, 998, 3300, 1393, 1907, 223, 0
0.075, 0.12, 1170, 287, 1040, 3450, 1456, 1994, 233, 0
0.075, 0.12, 1214, 299, 1078, 3600, 1512, 2088, 243, 0
0.075, 0.12, 1257, 310, 1115, 3750, 1566, 2184, 254, 0
0.075, 0.12, 1312, 321, 1166, 3900, 1632, 2268, 265, 0
0.075, 0.12, 1363, 335, 1201, 4050, 1696, 2354, 273, 0
0.075, 0.12, 1409, 350, 1240, 4200, 1758, 2442, 281, 0
0.075, 0.12, 1446, 356, 1274, 4303, 1800, 2503, 291, 0
0.075, 0.12, 73, 9, 62, 150, 81, 69, 0, 0
0.075, 0.12, 129, 25, 102, 300, 153, 147, 0, 0
0.075, 0.12, 184, 48, 151, 450, 231, 219, 0, 0
0.075, 0.12, 236, 60, 199, 600, 295, 305, 0, 0
0.075, 0.12, 302, 71, 255, 750, 372, 378, 0, 0
0.075, 0.12, 361, 83, 302, 900, 443, 457, 1, 0
0.075, 0.12, 423, 99, 351, 1050, 521, 529, 1, 0
0.075, 0.12, 469, 120, 393, 1200, 588, 612, 1, 0
0.075, 0.12, 523, 137, 440, 1350, 658, 692, 1, 0
0.075, 0.12, 574, 159, 485, 1500, 731, 769, 7, 0
0.075, 0.12, 607, 177, 516, 1650, 783, 867, 16, 0
0.075, 0.12, 660, 192, 565, 1800, 851, 949, 28, 0
0.075, 0.12, 721, 202, 624, 1950, 922, 1028, 36, 0
0.075, 0.12, 776, 221, 671, 2100, 995, 1105, 48, 0
0.075, 0.12, 819, 232, 711, 2250, 1049, 1201, 59, 0
0.075, 0.12, 857, 248, 740, 2400, 1103, 1297, 75, 0
0.075, 0.12, 908, 269, 789, 2550, 1176, 1374, 82, 0
0.075, 0.12, 978, 282, 848, 2700, 1259, 1441, 83, 0
0.075, 0.12, 1040, 297, 903, 2850, 1336, 1514, 83, 0
