0.05, 0.1, 3625, 3484, 2244, 65907, 7108, 58799, 674, 0
0.05, 0.1, 1457, 940, 995, 18056, 2396, 15660, 382, 0
0.05, 0.1, 1714, 1355, 1126, 29787, 3068, 26719, 563, 0
0.05, 0.1, 1594, 1114, 1065, 18848, 2706, 16142, 207, 0
0.05, 0.1, 1523, 889, 1015, 18926, 2411, 16515, 735, 0
0.05, 0.1, 2920, 2374, 1849, 39576, 5291, 34285, 503, 0
0.05, 0.1, 2723, 2277, 1734, 37790, 4999, 32791, 626, 0
0.05, 0.1, 1445, 916, 981, 16244, 2360, 13884, 293, 0
0.05, 0.1, 1845, 1277, 1210, 21370, 3120, 18250, 315, 0
0.05, 0.1, 3120, 3028, 1934, 53579, 6146, 47433, 744, 0
0.05, 0.1, 3806, 3845, 2356, 59099, 7650, 51449, 696, 0
0.05, 0.1, 2452, 2075, 1572, 35272, 4526, 30746, 730, 0
0.05, 0.1, 1733, 1449, 1105, 31436, 3181, 28255, 585, 0
0.05, 0.1, 1335, 740, 929, 14737, 2073, 12664, 451, 0
0.05, 0.1, 1464, 862, 991, 15278, 2325, 12953, 306, 0
0.05, 0.1, 2634, 2338, 1647, 42147, 4968, 37179, 580, 0
0.05, 0.1, 1699, 1366, 1124, 27928, 3063, 24865, 634, 0
0.05, 0.1, 1415, 948, 938, 19706, 2361, 17345, 391, 0
0.05, 0.1, 1069, 614, 729, 12301, 1682, 10619, 314, 0
0.05, 0.1, 1885, 1437, 1234, 27461, 3321, 24140, 418, 0
0.05, 0.1, 2203, 1639, 1408, 27218, 3841, 23377, 551, 0
0.05, 0.1, 4816, 6194, 2865, 105955, 11009, 94946, 1460, 0
0.05, 0.1, 1806, 1522, 1167, 32936, 3327, 29609, 744, 0
0.05, 0.1, 1720, 1055, 1142, 17887, 2774, 15113, 252, 0
0.05, 0.1, 1419, 1094, 921, 28635, 2512, 26123, 580, 0
0.05, 0.1, 2235, 1523, 1472, 24735, 3757, 20978, 499, 0
0.05, 0.1, 2732, 2611, 1729, 62013, 5342, 56671, 1473, 0
0.05, 0.1, 6070, 10456, 3587, 185607, 16525, 169082, 1210, 0
0.05, 0.1, 3339, 3172, 2092, 50317, 6510, 43807, 595, 0
0.05, 0.1, 2389, 1939, 1536, 42031, 4326, 37705, 672, 0
0.05, 0.1, 1453, 978, 990, 18159, 2429, 15730, 436, 0
0.05, 0.1, 1888, 1472, 1220, 30520, 3359, 27161, 357, 0
0.05, 0.1, 1463, 969, 977, 18244, 2431, 15813, 457, 0
0.05, 0.1, 1738, 1225, 1127, 23599, 2962, 20637, 379, 0
0.05, 0.1, 2917, 2368, 1859, 44517, 5283, 39234, 663, 0
0.05, 0.1, 3961, 4379, 2421, 77823, 8339, 69484, 1114, 0
0.05, 0.1, 3895, 4096, 2383, 73546, 7989, 65557, 1073, 0
0.05, 0.1, 5241, 7124, 3141, 118569, 12354, 106215, 1342, 0
0.05, 0.1, 1775, 1165, 1192, 20779, 2939, 17840, 388, 0
0.05, 0.1, 1083, 621, 754, 11052, 1703, 9349, 262, 0
0.05, 0.1, 7726, 17911, 4350, 392551, 25635, 366916, 2403, 0
0.05, 0.1, 1436, 856, 957, 16978, 2291, 14687, 312, 0
0.05, 0.1, 4364, 5058, 2668, 85890, 9420, 76470, 900, 0
0.05, 0.1, 2969, 2374, 1888, 38959, 5342, 33617, 613, 0
0.05, 0.1, 2344, 1806, 1511, 32431, 4147, 28284, 604, 0
0.05, 0.1, 2259, 1587, 1468, 27840, 3843, 23997, 363, 0
0.05, 0.1, 2626, 2398, 1658, 37138, 5023, 32115, 544, 0
0.05, 0.1, 1596, 1248, 1029, 25763, 2843, 22920, 685, 0
0.05, 0.1, 1687, 1130, 1110, 20834, 2816, 18018, 558, 0
0.05, 0.1, 1803, 1221, 1223, 20552, 3023, 17529, 390, 0
