0.07, 0.12, 1553, 2167, 804, 8280, 3714, 4566, 581, 77
0.07, 0.12, 541, 266, 361, 3390, 804, 2586, 271, 15
0.07, 0.12, 2399, 6787, 1184, 18283, 9180, 9103, 2019, 227
0.07, 0.12, 2025, 4079, 1011, 13118, 6103, 7015, 1283, 131
0.07, 0.12, 1106, 1297, 594, 6035, 2400, 3635, 630, 25
0.07, 0.12, 503, 287, 338, 2732, 789, 1943, 181, 5
0.07, 0.12, 1201, 1492, 658, 6415, 2690, 3725, 574, 26
0.07, 0.12, 1628, 3205, 827, 10081, 4830, 5251, 1175, 80
0.07, 0.12, 1964, 4065, 981, 12454, 6025, 6429, 1066, 133
0.07, 0.12, 736, 640, 437, 4334, 1373, 2961, 382, 20
0.07, 0.12, 1238, 1461, 691, 7344, 2698, 4646, 990, 45
0.07, 0.12, 1333, 1702, 705, 7217, 3034, 4183, 681, 63
0.07, 0.12, 606, 362, 381, 3463, 967, 2496, 265, 19
0.07, 0.12, 1991, 3915, 995, 11993, 5900, 6093, 1050, 129
0.07, 0.12, 604, 384, 385, 3303, 986, 2317, 283, 17
0.07, 0.12, 696, 574, 414, 4208, 1269, 2939, 713, 7
0.07, 0.12, 1296, 2202, 675, 7981, 3497, 4484, 1119, 23
0.07, 0.12, 1892, 3494, 988, 11445, 5385, 6060, 1051, 127
0.07, 0.12, 579, 420, 361, 3391, 998, 2393, 381, 11
0.07, 0.12, 842, 1036, 484, 5583, 1877, 3706, 590, 8
0.07, 0.12, 1145, 1221, 628, 6255, 2365, 3890, 631, 60
0.07, 0.12, 1361, 1752, 750, 7877, 3111, 4766, 1162, 55
0.07, 0.12, 1756, 2576, 933, 10067, 4328, 5739, 714, 78
0.07, 0.12, 1126, 1208, 658, 5995, 2333, 3662, 424, 60
0.07, 0.12, 1891, 3621, 961, 11835, 5509, 6326, 1355, 113
0.07, 0.12, 622, 319, 389, 3382, 940, 2442, 190, 23
0.07, 0.12, 2014, 4169, 1022, 12680, 6180, 6500, 1146, 126
0.07, 0.12, 2455, 6446, 1204, 17227, 8899, 8328, 1736, 194
0.07, 0.12, 1596, 2604, 844, 9273, 4199, 5074, 754, 95
0.07, 0.12, 1027, 1247, 597, 6272, 2272, 4000, 990, 13
0.07, 0.12, 548, 352, 338, 3023, 899, 2124, 226, 0
0.07, 0.12, 1553, 2421, 835, 9560, 3972, 5588, 1113, 94
0.07, 0.12, 1139, 1595, 641, 6981, 2733, 4248, 1117, 29
0.07, 0.12, 1158, 1438, 619, 6126, 2594, 3532, 601, 54
0.07, 0.12, 874, 755, 526, 4846, 1628, 3218, 346, 24
0.07, 0.12, 792, 649, 483, 4087, 1440, 2647, 194, 25
0.07, 0.12, 1809, 3609, 930, 11436, 5416, 6020, 1027, 132
0.07, 0.12, 732, 767, 415, 3926, 1498, 2428, 262, 25
0.07, 0.12, 826, 732, 487, 4536, 1556, 2980, 312, 19
0.07, 0.12, 993, 957, 577, 5441, 1947, 3494, 447, 32
0.07, 0.12, 1981, 4557, 1010, 13238, 6536, 6702, 1243, 143
0.07, 0.12, 711, 567, 426, 3982, 1277, 2705, 250, 31
0.07, 0.12, 1122, 1192, 631, 6051, 2313, 3738, 501, 25
0.07, 0.12, 981, 842, 580, 5264, 1822, 3442, 338, 30
0.07, 0.12, 1586, 2329, 848, 8845, 3913, 4932, 650, 84
0.07, 0.12, 967, 1174, 543, 5462, 2139, 3323, 509, 63
0.07, 0.12, 1389, 1850, 755, 7517, 3238, 4279, 496, 58
0.07, 0.12, 1625, 3375, 869, 10343, 4996, 5347, 1001, 103
0.07, 0.12, 1265, 1615, 699, 7197, 2878, 4319, 638, 63
0.07, 0.12, 858, 776, 510, 4926, 1633, 3293, 524, 33
0.07, 0.12, 874, 818, 530, 5136, 1689, 3447, 400, 7
0.07, 0.12, 829, 974, 490, 5048, 1802, 3246, 628, 31
0.07, 0.12, 3255, 17216, 1531, 37234, 20463, 16771, 3645, 543
0.07, 0.12, 965, 945, 546, 5172, 1908, 3264, 416, 32
