0.05, 0.1, 2968, 4579, 1574, 16358, 7545, 8813, 922, 0
0.05, 0.1, 4495, 9755, 2226, 27514, 14249, 13265, 1686, 0
0.05, 0.1, 3995, 7536, 2014, 23129, 11530, 11599, 1660, 0
0.05, 0.1, 1571, 1568, 883, 8123, 3138, 4985, 710, 0
0.05, 0.1, 1837, 2121, 1016, 9736, 3957, 5779, 790, 0
0.05, 0.1, 3000, 4617, 1571, 16323, 7616, 8707, 906, 0
0.05, 0.1, 2504, 3602, 1338, 13559, 6100, 7459, 1173, 0
0.05, 0.1, 5161, 12393, 2500, 32754, 17552, 15202, 2239, 0
0.05, 0.1, 4883, 10763, 2425, 29840, 15636, 14204, 2247, 0
0.05, 0.1, 4032, 7336, 2028, 22656, 11363, 11293, 1813, 0
0.05, 0.1, 1654, 1477, 966, 9002, 3130, 5872, 667, 0
0.05, 0.1, 1646, 1749, 939, 8781, 3392, 5389, 653, 0
0.05, 0.1, 2167, 2361, 1178, 11109, 4526, 6583, 1037, 0
0.05, 0.1, 4284, 8104, 2126, 24738, 12386, 12352, 1548, 0
0.05, 0.1, 2849, 4031, 1529, 16135, 6879, 9256, 1175, 0
0.05, 0.1, 2478, 3414, 1293, 12975, 5887, 7088, 1075, 0
0.05, 0.1, 2277, 2934, 1251, 12565, 5210, 7355, 834, 0
0.05, 0.1, 4541, 9896, 2283, 27025, 14431, 12594, 1530, 0
0.05, 0.1, 1847, 1776, 1036, 9758, 3621, 6137, 584, 0
0.05, 0.1, 6237, 20467, 2965, 47340, 26701, 20639, 3054, 0
0.05, 0.1, 2251, 2713, 1244, 11801, 4962, 6839, 732, 0
0.05, 0.1, 1689, 1896, 958, 9568, 3584, 5984, 738, 0
0.05, 0.1, 3231, 4882, 1672, 17731, 8111, 9620, 1055, 0
0.05, 0.1, 4198, 7871, 2117, 24242, 12062, 12180, 1919, 0
0.05, 0.1, 3132, 4657, 1622, 16512, 7787, 8725, 1096, 0
0.05, 0.1, 4064, 6950, 2044, 22732, 11013, 11719, 1350, 0
0.05, 0.1, 3205, 4865, 1649, 17433, 8068, 9365, 1451, 0
0.05, 0.1, 2661, 3418, 1453, 14304, 6078, 8226, 835, 0
0.05, 0.1, 1332, 1115, 774, 7086, 2446, 4640, 545, 0
0.05, 0.1, 2131, 2635, 1128, 11425, 4765, 6660, 671, 0
0.05, 0.1, 1249, 1340, 722, 7005, 2588, 4417, 577, 0
0.05, 0.1, 5289, 12891, 2577, 34064, 18174, 15890, 2382, 0
0.05, 0.1, 4280, 8275, 2155, 25260, 12553, 12707, 1418, 0
0.05, 0.1, 1843, 1703, 1052, 9574, 3545, 6029, 477, 0
0.05, 0.1, 1780, 1704, 1015, 9376, 3483, 5893, 539, 0
0.05, 0.1, 2272, 2735, 1229, 11982, 5006, 6976, 943, 0
0.05, 0.1, 1604, 1744, 907, 8853, 3347, 5506, 604, 0
0.05, 0.1, 2155, 2451, 1217, 11647, 4605, 7042, 626, 0
0.05, 0.1, 2177, 2557, 1217, 11730, 4732, 6998, 637, 0
0.05, 0.1, 2412, 3099, 1303, 12938, 5509, 7429, 848, 0
0.05, 0.1, 2867, 3882, 1517, 15482, 6747, 8735, 1259, 0
0.05, 0.1, 5880, 17050, 2868, 42041, 22927, 19114, 2848, 0
0.05, 0.1, 1411, 1680, 805, 8176, 3089, 5087, 705, 0
0.05, 0.1, 3763, 6468, 1920, 21128, 10230, 10898, 1073, 0
0.05, 0.1, 7852, 39783, 3676, 81892, 47629, 34263, 5400, 0
0.05, 0.1, 2104, 2631, 1133, 11518, 4732, 6786, 961, 0
0.05, 0.1, 4444, 9962, 2223, 27779, 14403, 13376, 2154, 0
0.05, 0.1, 3149, 4452, 1634, 16632, 7599, 9033, 805, 0
0.05, 0.1, 2380, 2989, 1274, 12832, 5368, 7464, 1044, 0
0.05, 0.1, 1515, 1626, 862, 8422, 3140, 5282, 544, 0
0.05, 0.1, 3137, 4426, 1625, 16752, 7562, 9190, 1070, 0
0.05, 0.1, 4031, 8358, 2051, 24627, 12387, 12240, 2115, 0
0.05, 0.1, 2029, 2527, 1128, 11224, 4555, 6669, 951, 0
0.05, 0.1, 1678, 1925, 978, 9639, 3602, 6037, 713, 0
0.05, 0.1, 2257, 2879, 1196, 12126, 5134, 6992, 936, 0
0.05, 0.1, 1091, 984, 663, 6013, 2074, 3939, 497, 0
0.05, 0.1, 1627, 1650, 907, 8973, 3275, 5698, 836, 0
