0.07, 0.12, 818, 392, 575, 6041, 1209, 4832, 186, 0
0.07, 0.12, 2297, 2519, 1474, 41277, 4814, 36463, 1699, 0
0.07, 0.12, 521, 263, 392, 4975, 783, 4192, 303, 0
0.07, 0.12, 602, 218, 430, 5492, 819, 4673, 286, 0
0.07, 0.12, 1220, 682, 838, 11943, 1901, 10042, 565, 0
0.07, 0.12, 2179, 2248, 1338, 36215, 4426, 31789, 940, 0
0.07, 0.12, 1425, 883, 958, 14275, 2307, 11968, 455, 0
0.07, 0.12, 552, 279, 393, 5357, 829, 4528, 320, 0
0.07, 0.12, 710, 342, 504, 6153, 1050, 5103, 298, 0
0.07, 0.12, 1145, 678, 794, 12308, 1821, 10487, 562, 0
0.07, 0.12, 672, 342, 498, 5587, 1013, 4574, 276, 0
0.07, 0.12, 1207, 760, 822, 11461, 1966, 9495, 425, 0
0.07, 0.12, 1139, 749, 794, 11744, 1887, 9857, 436, 0
0.07, 0.12, 953, 471, 679, 7980, 1423, 6557, 489, 0
0.07, 0.12, 1372, 1000, 918, 14958, 2371, 12587, 510, 0
0.07, 0.12, 1104, 641, 753, 9785, 1744, 8041, 296, 0
0.07, 0.12, 1338, 909, 918, 14325, 2246, 12079, 832, 0
0.07, 0.12, 1495, 1083, 1002, 18629, 2577, 16052, 693, 0
0.07, 0.12, 506, 231, 382, 4401, 736, 3665, 303, 0
0.07, 0.12, 1666, 1314, 1100, 20102, 2979, 17123, 600, 0
0.07, 0.12, 946, 541, 652, 10112, 1486, 8626, 444, 0
0.07, 0.12, 999, 608, 689, 9665, 1603, 8062, 347, 0
0.07, 0.12, 708, 312, 507, 6630, 1019, 5611, 345, 0
0.07, 0.12, 920, 474, 642, 7778, 1392, 6386, 311, 0
0.07, 0.12, 654, 298, 492, 4801, 951, 3850, 256, 0
0.07, 0.12, 422, 176, 308, 3436, 597, 2839, 192, 0
0.07, 0.12, 2071, 1946, 1298, 32196, 4015, 28181, 1174, 0
0.07, 0.12, 2077, 2170, 1312, 33411, 4241, 29170, 1026, 0
0.07, 0.12, 532, 307, 397, 4856, 838, 4018, 303, 0
0.07, 0.12, 1262, 811, 848, 13591, 2072, 11519, 466, 0
0.07, 0.12, 1059, 537, 739, 9099, 1594, 7505, 534, 0
0.07, 0.12, 1795, 1755, 1185, 26092, 3548, 22544, 837, 0
0.07, 0.12, 1054, 593, 722, 11480, 1646, 9834, 778, 0
0.07, 0.12, 891, 546, 621, 10349, 1435, 8914, 679, 0
0.07, 0.12, 472, 162, 355, 3271, 633, 2638, 215, 0
0.07, 0.12, 1098, 661, 766, 10829, 1757, 9072, 496, 0
